date,uk,london
Mar-2005,31358000,4677000
Jun-2005,31404000,4699000
Sep-2005,31541000,4733000
Dec-2005,31628000,4757000
Mar-2006,31710000,4767000
Jun-2006,31811000,4776000
Sep-2006,31948000,4763000
Dec-2006,32063000,4781000
Mar-2007,32009000,4792000
Jun-2007,32088000,4797000
Sep-2007,32217000,4852000
Dec-2007,32247000,4884000
Mar-2008,32295000,4917000
Jun-2008,32348000,4962000
Sep-2008,32312000,4989000
Dec-2008,32123000,5017000
Mar-2009,31936000,4916000
Jun-2009,31739000,4897000
Sep-2009,31603000,4822000
Dec-2009,31460000,4801000
Mar-2010,31492000,4827000
Jun-2010,31555000,4855000
Sep-2010,31503000,4820000
Dec-2010,31552000,4869000
Mar-2011,31654000,4864000
Jun-2011,31559000,4880000
Sep-2011,31773000,4960000
Dec-2011,31793000,4987000
Mar-2012,32169000,5121000
Jun-2012,32092000,5128000
Sep-2012,32026000,5137000
Dec-2012,31975000,5148000
Mar-2013,32196000,5242000
Jun-2013,32238000,5228000
Sep-2013,32460000,5275000
Dec-2013,32819000,5381000
Mar-2014,33153000,5444000
Jun-2014,33448000,5527000
Sep-2014,33573000,5520000
Dec-2014,33671000,5545000
Mar-2015,33823000,5580000
Jun-2015,33903000,5603000
Sep-2015,34083000,5632000
Dec-2015,34146000,5660000
Mar-2016,34421000,5715000
Jun-2016,34618000,5779000
Sep-2016,34654000,5776000
Dec-2016,34702000,5765000
Mar-2017,34987000,5805000
Jun-2017,35069000,5832000
Sep-2017,35231000,5836000
